request_id,priority,arrival_ts,deadline_ts,delay_budget_ms,scheduled_ts,scheduling_delay_ms,available_threads_at_schedule,required_threads,decision
req-000036-usertable:key_0036,LOW,2025-11-26T04:40:14.254000000Z,2025-11-26T04:40:28.931000000Z,14677,2025-11-26T04:40:14.254000000Z,0,8,4,scheduled
req-000035-usertable:item_0035,MEDIUM,2025-11-26T04:40:14.254000000Z,2025-11-26T04:40:22.095000000Z,7841,2025-11-26T04:40:14.254000000Z,0,8,2,scheduled
req-000037-usertable:user_0037,MEDIUM,2025-11-26T04:40:14.293000000Z,2025-11-26T04:40:17.842000000Z,3549,2025-11-26T04:40:14.294000000Z,1,8,2,scheduled
req-000039-usertable:item_0039,HIGH,2025-11-26T04:40:14.343000000Z,2025-11-26T04:40:14.666000000Z,323,2025-11-26T04:40:14.344000000Z,1,8,1,scheduled
req-000038-usertable:data_0038,MEDIUM,2025-11-26T04:40:14.343000000Z,2025-11-26T04:40:19.845000000Z,5502,2025-11-26T04:40:14.344000000Z,1,8,2,scheduled
req-000040-usertable:key_0040,MEDIUM,2025-11-26T04:40:14.344000000Z,2025-11-26T04:40:19.085000000Z,4741,2025-11-26T04:40:14.344000000Z,0,6,2,scheduled
req-000041-usertable:user_0041,MEDIUM,2025-11-26T04:40:14.344000000Z,2025-11-26T04:40:18.536000000Z,4192,2025-11-26T04:40:14.344000000Z,0,6,2,scheduled
req-000042-usertable:data_0042,HIGH,2025-11-26T04:40:14.347000000Z,2025-11-26T04:40:14.863000000Z,516,2025-11-26T04:40:14.347000000Z,0,8,1,scheduled
req-000045-usertable:user_0045,HIGH,2025-11-26T04:40:14.386000000Z,2025-11-26T04:40:15.332000000Z,946,2025-11-26T04:40:14.387000000Z,1,8,1,scheduled
req-000043-usertable:item_0043,LOW,2025-11-26T04:40:14.386000000Z,2025-11-26T04:41:24.118000000Z,69732,2025-11-26T04:40:14.387000000Z,1,8,4,scheduled
req-000044-usertable:key_0044,MEDIUM,2025-11-26T04:40:14.386000000Z,2025-11-26T04:40:23.159000000Z,8773,2025-11-26T04:40:14.387000000Z,1,8,2,scheduled
req-000046-usertable:data_0046,HIGH,2025-11-26T04:40:14.431000000Z,2025-11-26T04:40:15.266000000Z,835,2025-11-26T04:40:14.431000000Z,0,8,1,scheduled
req-000048-usertable:key_0048,MEDIUM,2025-11-26T04:40:14.530000000Z,2025-11-26T04:40:22.700000000Z,8170,2025-11-26T04:40:14.531000000Z,1,8,2,scheduled
req-000047-usertable:item_0047,LOW,2025-11-26T04:40:14.530000000Z,2025-11-26T04:52:32.160000000Z,737630,2025-11-26T04:40:14.531000000Z,1,8,4,scheduled
req-000049-usertable:user_0049,MEDIUM,2025-11-26T04:40:14.543000000Z,2025-11-26T04:40:15.779000000Z,1236,2025-11-26T04:40:14.544000000Z,1,8,2,scheduled
req-000051-usertable:item_0051,HIGH,2025-11-26T04:40:14.629000000Z,2025-11-26T04:40:14.960000000Z,331,2025-11-26T04:40:14.630000000Z,1,8,1,scheduled
req-000050-usertable:data_0050,MEDIUM,2025-11-26T04:40:14.629000000Z,2025-11-26T04:40:15.764000000Z,1135,2025-11-26T04:40:14.630000000Z,1,8,2,scheduled
req-000052-usertable:key_0052,LOW,2025-11-26T04:40:14.716000000Z,2025-11-26T04:47:07.149000000Z,412433,2025-11-26T04:40:14.716000000Z,0,8,4,scheduled
req-000053-usertable:user_0053,HIGH,2025-11-26T04:40:14.725000000Z,2025-11-26T04:40:15.118000000Z,393,2025-11-26T04:40:14.726000000Z,1,8,1,scheduled
req-000054-usertable:data_0054,LOW,2025-11-26T04:40:14.753000000Z,2025-11-26T04:40:48.945000000Z,34192,2025-11-26T04:40:14.754000000Z,1,8,4,scheduled
req-000055-usertable:item_0055,HIGH,2025-11-26T04:40:14.828000000Z,2025-11-26T04:40:15.207000000Z,379,2025-11-26T04:40:14.829000000Z,1,8,1,scheduled
req-000056-usertable:key_0056,MEDIUM,2025-11-26T04:40:14.832000000Z,2025-11-26T04:40:16.265000000Z,1433,2025-11-26T04:40:14.832000000Z,0,8,2,scheduled
req-000057-usertable:user_0057,HIGH,2025-11-26T04:40:14.968000000Z,2025-11-26T04:40:15.196000000Z,228,2025-11-26T04:40:14.969000000Z,1,8,1,scheduled
req-000058-usertable:data_0058,LOW,2025-11-26T04:40:14.993000000Z,2025-11-26T04:41:06.439000000Z,51446,2025-11-26T04:40:14.994000000Z,1,8,4,scheduled
req-000060-usertable:key_0060,HIGH,2025-11-26T04:40:14.993000000Z,2025-11-26T04:40:15.939000000Z,946,2025-11-26T04:40:14.994000000Z,1,8,1,scheduled
req-000059-usertable:item_0059,MEDIUM,2025-11-26T04:40:14.993000000Z,2025-11-26T04:40:16.723000000Z,1730,2025-11-26T04:40:14.994000000Z,1,8,2,scheduled
req-000063-usertable:item_0063,HIGH,2025-11-26T04:40:15.000000000Z,2025-11-26T04:40:15.288000000Z,288,2025-11-26T04:40:15.001000000Z,1,8,1,scheduled
req-000061-usertable:user_0061,MEDIUM,2025-11-26T04:40:15.000000000Z,2025-11-26T04:40:16.041000000Z,1041,2025-11-26T04:40:15.001000000Z,1,8,2,scheduled
req-000062-usertable:data_0062,HIGH,2025-11-26T04:40:15.000000000Z,2025-11-26T04:40:15.831000000Z,831,2025-11-26T04:40:15.001000000Z,1,8,1,scheduled
req-000064-usertable:key_0064,LOW,2025-11-26T04:40:15.005000000Z,2025-11-26T04:41:37.357000000Z,82352,2025-11-26T04:40:15.006000000Z,1,8,4,scheduled
req-000065-usertable:user_0065,LOW,2025-11-26T04:40:15.005000000Z,2025-11-26T04:40:51.990000000Z,36985,2025-11-26T04:40:15.006000000Z,1,7,4,scheduled
req-000066-usertable:data_0066,LOW,2025-11-26T04:40:15.078000000Z,2025-11-26T04:41:33.073000000Z,77995,2025-11-26T04:40:15.079000000Z,1,8,4,scheduled
req-000067-usertable:item_0067,HIGH,2025-11-26T04:40:15.078000000Z,2025-11-26T04:40:15.345000000Z,267,2025-11-26T04:40:15.079000000Z,1,8,1,scheduled
req-000068-usertable:key_0068,HIGH,2025-11-26T04:40:15.395000000Z,2025-11-26T04:40:15.395000000Z,0,2025-11-26T04:40:15.396000000Z,1,8,1,urgent-admit
req-000069-usertable:user_0069,HIGH,2025-11-26T04:40:15.395000000Z,2025-11-26T04:40:15.653000000Z,258,2025-11-26T04:40:15.396000000Z,1,8,1,scheduled
req-000070-usertable:data_0070,LOW,2025-11-26T04:40:15.399000000Z,2025-11-26T04:53:33.374000000Z,797975,2025-11-26T04:40:15.399000000Z,0,8,4,scheduled
req-000071-usertable:item_0071,MEDIUM,2025-11-26T04:40:15.403000000Z,2025-11-26T04:40:22.820000000Z,7417,2025-11-26T04:40:15.403000000Z,0,8,2,scheduled
req-000072-usertable:key_0072,MEDIUM,2025-11-26T04:40:15.719000000Z,2025-11-26T04:40:22.333000000Z,6614,2025-11-26T04:40:15.720000000Z,1,8,2,scheduled
req-000073-usertable:user_0073,MEDIUM,2025-11-26T04:40:15.872000000Z,2025-11-26T04:40:19.156000000Z,3284,2025-11-26T04:40:15.873000000Z,1,8,2,scheduled
req-000074-usertable:data_0074,MEDIUM,2025-11-26T04:40:15.872000000Z,2025-11-26T04:40:24.598000000Z,8726,2025-11-26T04:40:15.873000000Z,1,8,2,scheduled
req-000075-usertable:item_0075,HIGH,2025-11-26T04:40:15.889000000Z,2025-11-26T04:40:15.889000000Z,0,2025-11-26T04:40:15.890000000Z,1,8,1,urgent-admit
req-000077-usertable:user_0077,HIGH,2025-11-26T04:40:15.891000000Z,2025-11-26T04:40:15.891000000Z,0,2025-11-26T04:40:15.891000000Z,0,8,1,urgent-admit
req-000076-usertable:key_0076,MEDIUM,2025-11-26T04:40:15.891000000Z,2025-11-26T04:40:24.360000000Z,8469,2025-11-26T04:40:15.891000000Z,0,8,2,scheduled
req-000078-usertable:data_0078,LOW,2025-11-26T04:40:15.900000000Z,2025-11-26T04:42:54.606000000Z,158706,2025-11-26T04:40:15.900000000Z,0,8,4,scheduled
req-000080-usertable:key_0080,HIGH,2025-11-26T04:40:15.961000000Z,2025-11-26T04:40:16.540000000Z,579,2025-11-26T04:40:15.961000000Z,0,8,1,scheduled
req-000079-usertable:item_0079,MEDIUM,2025-11-26T04:40:15.961000000Z,2025-11-26T04:40:17.445000000Z,1484,2025-11-26T04:40:15.961000000Z,0,8,2,scheduled
req-000081-usertable:user_0081,HIGH,2025-11-26T04:40:15.969000000Z,2025-11-26T04:40:16.631000000Z,662,2025-11-26T04:40:15.969000000Z,0,8,1,scheduled
req-000082-usertable:data_0082,LOW,2025-11-26T04:40:15.976000000Z,2025-11-26T04:41:21.498000000Z,65522,2025-11-26T04:40:15.977000000Z,1,8,4,scheduled
req-000083-usertable:item_0083,HIGH,2025-11-26T04:40:15.981000000Z,2025-11-26T04:40:16.484000000Z,503,2025-11-26T04:40:15.981000000Z,0,8,1,scheduled
req-000084-usertable:key_0084,LOW,2025-11-26T04:40:16.007000000Z,2025-11-26T04:41:08.565000000Z,52558,2025-11-26T04:40:16.007000000Z,0,8,4,scheduled
req-000088-usertable:key_0088,MEDIUM,2025-11-26T04:40:16.714000000Z,2025-11-26T04:40:23.063000000Z,6349,2025-11-26T04:40:16.715000000Z,1,8,2,scheduled
req-000085-usertable:user_0085,MEDIUM,2025-11-26T04:40:16.714000000Z,2025-11-26T04:40:19.744000000Z,3030,2025-11-26T04:40:16.715000000Z,1,8,2,scheduled
req-000087-usertable:item_0087,HIGH,2025-11-26T04:40:16.714000000Z,2025-11-26T04:40:17.590000000Z,876,2025-11-26T04:40:16.715000000Z,1,6,1,scheduled
req-000086-usertable:data_0086,MEDIUM,2025-11-26T04:40:16.714000000Z,2025-11-26T04:40:19.705000000Z,2991,2025-11-26T04:40:16.715000000Z,1,6,2,scheduled
req-000089-usertable:user_0089,HIGH,2025-11-26T04:40:16.722000000Z,2025-11-26T04:40:16.763000000Z,41,2025-11-26T04:40:16.723000000Z,1,8,1,scheduled
req-000091-usertable:item_0091,MEDIUM,2025-11-26T04:40:16.726000000Z,2025-11-26T04:40:23.495000000Z,6769,2025-11-26T04:40:16.726000000Z,0,8,2,scheduled
req-000090-usertable:data_0090,MEDIUM,2025-11-26T04:40:16.726000000Z,2025-11-26T04:40:17.993000000Z,1267,2025-11-26T04:40:16.726000000Z,0,7,2,scheduled
req-000092-usertable:key_0092,MEDIUM,2025-11-26T04:40:17.115000000Z,2025-11-26T04:40:24.549000000Z,7434,2025-11-26T04:40:17.116000000Z,1,8,2,scheduled
req-000093-usertable:user_0093,MEDIUM,2025-11-26T04:40:17.122000000Z,2025-11-26T04:40:23.242000000Z,6120,2025-11-26T04:40:17.123000000Z,1,8,2,scheduled
req-000094-usertable:data_0094,HIGH,2025-11-26T04:40:17.125000000Z,2025-11-26T04:40:17.230000000Z,105,2025-11-26T04:40:17.125000000Z,0,8,1,scheduled
req-000095-usertable:item_0095,LOW,2025-11-26T04:40:17.693000000Z,2025-11-26T04:41:50.274000000Z,92581,2025-11-26T04:40:17.694000000Z,1,8,4,scheduled
req-000096-usertable:key_0096,LOW,2025-11-26T04:40:17.722000000Z,2025-11-26T04:41:00.586000000Z,42864,2025-11-26T04:40:17.723000000Z,1,8,4,scheduled
req-000097-usertable:user_0097,MEDIUM,2025-11-26T04:40:18.319000000Z,2025-11-26T04:40:19.871000000Z,1552,2025-11-26T04:40:18.320000000Z,1,8,2,scheduled
req-000098-usertable:data_0098,MEDIUM,2025-11-26T04:40:18.327000000Z,2025-11-26T04:40:23.447000000Z,5120,2025-11-26T04:40:18.328000000Z,1,8,2,scheduled
req-000099-usertable:item_0099,LOW,2025-11-26T04:40:18.333000000Z,2025-11-26T04:56:34.807000000Z,976474,2025-11-26T04:40:18.334000000Z,1,8,4,scheduled
req-000100-usertable:key_0100,LOW,2025-11-26T04:40:18.685000000Z,2025-11-26T04:47:46.697000000Z,448012,2025-11-26T04:40:18.685000000Z,0,8,4,scheduled
