index,key,priority,max_delay_ms,arrival_ts,send_ts,done_ts,delay_ms,latency_us
42,data_0042,H,516,2025-11-19T19:20:55.150781-08:00,2025-11-19T19:20:55.151232-08:00,2025-11-19T19:20:55.152388-08:00,0,1155
43,item_0043,L,69732,2025-11-19T19:20:55.189781-08:00,2025-11-19T19:20:55.191675-08:00,2025-11-19T19:20:55.199585-08:00,1,7909
44,key_0044,M,8773,2025-11-19T19:20:55.189781-08:00,2025-11-19T19:20:55.191964-08:00,2025-11-19T19:20:55.199397-08:00,2,7433
45,user_0045,H,946,2025-11-19T19:20:55.189781-08:00,2025-11-19T19:20:55.192146-08:00,2025-11-19T19:20:55.199449-08:00,2,7303
46,data_0046,H,835,2025-11-19T19:20:55.234781-08:00,2025-11-19T19:20:55.235363-08:00,2025-11-19T19:20:55.236726-08:00,0,1362
47,item_0047,L,737630,2025-11-19T19:20:55.333781-08:00,2025-11-19T19:20:55.334469-08:00,2025-11-19T19:20:55.337451-08:00,0,2981
48,key_0048,M,8170,2025-11-19T19:20:55.333781-08:00,2025-11-19T19:20:55.334791-08:00,2025-11-19T19:20:55.337447-08:00,0,2655
49,user_0049,M,1236,2025-11-19T19:20:55.346781-08:00,2025-11-19T19:20:55.348256-08:00,2025-11-19T19:20:55.350337-08:00,1,2081
50,data_0050,M,1135,2025-11-19T19:20:55.432781-08:00,2025-11-19T19:20:55.433089-08:00,2025-11-19T19:20:55.435562-08:00,0,2472
51,item_0051,H,331,2025-11-19T19:20:55.432781-08:00,2025-11-19T19:20:55.433163-08:00,2025-11-19T19:20:55.435622-08:00,0,2458
52,key_0052,L,412433,2025-11-19T19:20:55.519781-08:00,2025-11-19T19:20:55.520694-08:00,2025-11-19T19:20:55.525897-08:00,0,5203
53,user_0053,H,393,2025-11-19T19:20:55.528781-08:00,2025-11-19T19:20:55.529613-08:00,2025-11-19T19:20:55.530985-08:00,0,1371
54,data_0054,L,34192,2025-11-19T19:20:55.556781-08:00,2025-11-19T19:20:55.557973-08:00,2025-11-19T19:20:55.560626-08:00,1,2653
55,item_0055,H,379,2025-11-19T19:20:55.631781-08:00,2025-11-19T19:20:55.632415-08:00,2025-11-19T19:20:55.634834-08:00,0,2419
56,key_0056,M,1433,2025-11-19T19:20:55.635781-08:00,2025-11-19T19:20:55.6361-08:00,2025-11-19T19:20:55.637055-08:00,0,955
57,user_0057,H,228,2025-11-19T19:20:55.771781-08:00,2025-11-19T19:20:55.773168-08:00,2025-11-19T19:20:55.776135-08:00,1,2966
58,data_0058,L,51446,2025-11-19T19:20:55.796781-08:00,2025-11-19T19:20:55.798194-08:00,2025-11-19T19:20:55.799305-08:00,1,1111
59,item_0059,M,1730,2025-11-19T19:20:55.796781-08:00,2025-11-19T19:20:55.798226-08:00,2025-11-19T19:20:55.799299-08:00,1,1072
60,key_0060,H,946,2025-11-19T19:20:55.796781-08:00,2025-11-19T19:20:55.798159-08:00,2025-11-19T19:20:55.799305-08:00,1,1146
61,user_0061,M,1041,2025-11-19T19:20:55.803781-08:00,2025-11-19T19:20:55.804738-08:00,2025-11-19T19:20:55.805603-08:00,0,865
62,data_0062,H,831,2025-11-19T19:20:55.803781-08:00,2025-11-19T19:20:55.804709-08:00,2025-11-19T19:20:55.80561-08:00,0,900
63,item_0063,H,288,2025-11-19T19:20:55.803781-08:00,2025-11-19T19:20:55.804715-08:00,2025-11-19T19:20:55.805603-08:00,0,888
64,key_0064,L,82352,2025-11-19T19:20:55.808781-08:00,2025-11-19T19:20:55.809112-08:00,2025-11-19T19:20:55.809799-08:00,0,686
65,user_0065,L,36985,2025-11-19T19:20:55.808781-08:00,2025-11-19T19:20:55.809079-08:00,2025-11-19T19:20:55.809808-08:00,0,728
66,data_0066,L,77995,2025-11-19T19:20:55.881781-08:00,2025-11-19T19:20:55.882853-08:00,2025-11-19T19:20:55.884011-08:00,1,1157
67,item_0067,H,267,2025-11-19T19:20:55.881781-08:00,2025-11-19T19:20:55.88288-08:00,2025-11-19T19:20:55.883994-08:00,1,1113
68,key_0068,H,0,2025-11-19T19:20:56.198781-08:00,2025-11-19T19:20:56.199226-08:00,2025-11-19T19:20:56.20238-08:00,0,3153
69,user_0069,H,258,2025-11-19T19:20:56.198781-08:00,2025-11-19T19:20:56.199635-08:00,2025-11-19T19:20:56.20238-08:00,0,2745
70,data_0070,L,797975,2025-11-19T19:20:56.202781-08:00,2025-11-19T19:20:56.202963-08:00,2025-11-19T19:20:56.20406-08:00,0,1096
